Resolving data files: 100%|██████████████████████████████████████| 2000/2000 [00:00<00:00, 20507.74it/s]
Resolving data files: 100%|████████████████████████████████████████| 200/200 [00:00<00:00, 25617.98it/s]

Epoch 1/1
epoch 1 | step 0/62 | loss = 1.6223 | 1 / 62 | 3.1952s
epoch 1 | step 1/62 | loss = 1.5792 | 2 / 62 | 3.1241s
epoch 1 | step 2/62 | loss = 1.5200 | 3 / 62 | 3.1109s
epoch 1 | step 3/62 | loss = 1.3689 | 4 / 62 | 3.1095s
epoch 1 | step 4/62 | loss = 1.2109 | 5 / 62 | 3.1135s
epoch 1 | step 5/62 | loss = 1.3526 | 6 / 62 | 3.1097s
epoch 1 | step 6/62 | loss = 1.2844 | 7 / 62 | 3.1107s
epoch 1 | step 7/62 | loss = 1.2388 | 8 / 62 | 3.0976s
epoch 1 | step 8/62 | loss = 1.3196 | 9 / 62 | 3.1191s
epoch 1 | step 9/62 | loss = 1.2903 | 10 / 62 | 3.0885s
epoch 1 | step 10/62 | loss = 1.2122 | 11 / 62 | 3.1056s
epoch 1 | step 11/62 | loss = 1.1561 | 12 / 62 | 3.1210s
epoch 1 | step 12/62 | loss = 1.1522 | 13 / 62 | 3.0978s
epoch 1 | step 13/62 | loss = 1.1156 | 14 / 62 | 3.1175s
epoch 1 | step 14/62 | loss = 1.2285 | 15 / 62 | 3.1285s
epoch 1 | step 15/62 | loss = 1.2196 | 16 / 62 | 3.1084s
epoch 1 | step 16/62 | loss = 1.2308 | 17 / 62 | 3.1112s
epoch 1 | step 17/62 | loss = 1.0963 | 18 / 62 | 3.1227s
epoch 1 | step 18/62 | loss = 1.0522 | 19 / 62 | 3.1176s
epoch 1 | step 19/62 | loss = 1.2940 | 20 / 62 | 3.1241s
epoch 1 | step 20/62 | loss = 1.0824 | 21 / 62 | 3.1437s
epoch 1 | step 21/62 | loss = 1.2056 | 22 / 62 | 3.1237s
epoch 1 | step 22/62 | loss = 1.0921 | 23 / 62 | 3.1130s
epoch 1 | step 23/62 | loss = 1.0741 | 24 / 62 | 3.1102s
epoch 1 | step 24/62 | loss = 1.0397 | 25 / 62 | 3.0941s
epoch 1 | step 25/62 | loss = 1.1055 | 26 / 62 | 3.1025s
epoch 1 | step 26/62 | loss = 1.0641 | 27 / 62 | 3.1089s
epoch 1 | step 27/62 | loss = 1.1621 | 28 / 62 | 3.1062s
epoch 1 | step 28/62 | loss = 1.1325 | 29 / 62 | 3.1200s
epoch 1 | step 29/62 | loss = 1.0538 | 30 / 62 | 3.0949s
epoch 1 | step 30/62 | loss = 0.9665 | 31 / 62 | 3.1129s
epoch 1 | step 31/62 | loss = 0.9043 | 32 / 62 | 3.1007s
epoch 1 | step 32/62 | loss = 0.8751 | 33 / 62 | 3.1086s
epoch 1 | step 33/62 | loss = 0.9044 | 34 / 62 | 3.1147s
epoch 1 | step 34/62 | loss = 0.9648 | 35 / 62 | 3.1108s
epoch 1 | step 35/62 | loss = 1.0422 | 36 / 62 | 3.1096s
epoch 1 | step 36/62 | loss = 0.9694 | 37 / 62 | 3.1249s
epoch 1 | step 37/62 | loss = 0.9607 | 38 / 62 | 3.1125s
epoch 1 | step 38/62 | loss = 0.9831 | 39 / 62 | 3.1195s
epoch 1 | step 39/62 | loss = 0.8172 | 40 / 62 | 3.1059s
epoch 1 | step 40/62 | loss = 0.8767 | 41 / 62 | 3.0997s
epoch 1 | step 41/62 | loss = 0.9046 | 42 / 62 | 3.1113s
epoch 1 | step 42/62 | loss = 0.8467 | 43 / 62 | 3.0973s
epoch 1 | step 43/62 | loss = 0.7258 | 44 / 62 | 3.0856s
epoch 1 | step 44/62 | loss = 0.7925 | 45 / 62 | 3.1029s
epoch 1 | step 45/62 | loss = 0.7323 | 46 / 62 | 3.0995s
epoch 1 | step 46/62 | loss = 0.7738 | 47 / 62 | 3.1240s
epoch 1 | step 47/62 | loss = 0.7665 | 48 / 62 | 3.0928s
epoch 1 | step 48/62 | loss = 1.0226 | 49 / 62 | 3.1010s
epoch 1 | step 49/62 | loss = 0.7363 | 50 / 62 | 3.1074s
epoch 1 | step 50/62 | loss = 0.8200 | 51 / 62 | 3.1022s
epoch 1 | step 51/62 | loss = 0.6489 | 52 / 62 | 3.0991s
epoch 1 | step 52/62 | loss = 0.8173 | 53 / 62 | 3.1109s
epoch 1 | step 53/62 | loss = 0.6851 | 54 / 62 | 3.1029s
epoch 1 | step 54/62 | loss = 0.7656 | 55 / 62 | 3.1132s
epoch 1 | step 55/62 | loss = 0.6211 | 56 / 62 | 3.1036s
epoch 1 | step 56/62 | loss = 0.7571 | 57 / 62 | 3.1137s
epoch 1 | step 57/62 | loss = 0.8143 | 58 / 62 | 3.1072s
epoch 1 | step 58/62 | loss = 0.6424 | 59 / 62 | 3.1086s
epoch 1 | step 59/62 | loss = 0.7515 | 60 / 62 | 3.1140s
epoch 1 | step 60/62 | loss = 0.7095 | 61 / 62 | 3.1150s
epoch 1 | step 61/62 | loss = 0.6614 | 62 / 62 | 3.1000s

