
Epoch 1/10
epoch 1 | step 0/78 | loss = 2.5635 | 1 / 780 | 6.3829s
epoch 1 | step 1/78 | loss = 2.3588 | 2 / 780 | 6.2266s
epoch 1 | step 2/78 | loss = 2.2634 | 3 / 780 | 6.2166s
epoch 1 | step 3/78 | loss = 2.3762 | 4 / 780 | 6.2921s
epoch 1 | step 4/78 | loss = 2.2206 | 5 / 780 | 6.2301s
epoch 1 | step 5/78 | loss = 2.1144 | 6 / 780 | 6.2058s
epoch 1 | step 6/78 | loss = 2.1575 | 7 / 780 | 6.1777s
epoch 1 | step 7/78 | loss = 2.0810 | 8 / 780 | 6.2189s
epoch 1 | step 8/78 | loss = 2.1351 | 9 / 780 | 6.2020s
epoch 1 | step 9/78 | loss = 1.9893 | 10 / 780 | 6.1722s
epoch 1 | step 10/78 | loss = 1.9485 | 11 / 780 | 6.1760s
epoch 1 | step 11/78 | loss = 1.9270 | 12 / 780 | 6.2588s
epoch 1 | step 12/78 | loss = 1.9984 | 13 / 780 | 6.1926s
epoch 1 | step 13/78 | loss = 1.9287 | 14 / 780 | 6.2282s
epoch 1 | step 14/78 | loss = 1.8390 | 15 / 780 | 6.2476s
epoch 1 | step 15/78 | loss = 1.7707 | 16 / 780 | 6.2120s
epoch 1 | step 16/78 | loss = 1.7559 | 17 / 780 | 6.1953s
epoch 1 | step 17/78 | loss = 1.8131 | 18 / 780 | 6.1897s
epoch 1 | step 18/78 | loss = 1.7850 | 19 / 780 | 6.2571s
epoch 1 | step 19/78 | loss = 1.7797 | 20 / 780 | 6.2040s
epoch 1 | step 20/78 | loss = 1.7420 | 21 / 780 | 6.2355s
epoch 1 | step 21/78 | loss = 1.7365 | 22 / 780 | 6.2434s
epoch 1 | step 22/78 | loss = 1.6219 | 23 / 780 | 6.2014s
epoch 1 | step 23/78 | loss = 1.6771 | 24 / 780 | 6.1834s
epoch 1 | step 24/78 | loss = 1.4529 | 25 / 780 | 6.1820s
epoch 1 | step 25/78 | loss = 1.4579 | 26 / 780 | 6.1933s
epoch 1 | step 26/78 | loss = 1.5629 | 27 / 780 | 6.1678s
epoch 1 | step 27/78 | loss = 1.4995 | 28 / 780 | 6.1530s
epoch 1 | step 28/78 | loss = 1.4137 | 29 / 780 | 6.2085s
epoch 1 | step 29/78 | loss = 1.5257 | 30 / 780 | 6.1639s
epoch 1 | step 30/78 | loss = 1.2898 | 31 / 780 | 6.1454s
epoch 1 | step 31/78 | loss = 1.2472 | 32 / 780 | 6.1760s
epoch 1 | step 32/78 | loss = 1.2755 | 33 / 780 | 6.1692s
epoch 1 | step 33/78 | loss = 1.3420 | 34 / 780 | 6.1664s
epoch 1 | step 34/78 | loss = 1.2964 | 35 / 780 | 6.1462s
epoch 1 | step 35/78 | loss = 1.1746 | 36 / 780 | 6.1746s
epoch 1 | step 36/78 | loss = 1.2638 | 37 / 780 | 6.1599s
epoch 1 | step 37/78 | loss = 1.1090 | 38 / 780 | 6.1539s
epoch 1 | step 38/78 | loss = 1.1018 | 39 / 780 | 6.1936s
epoch 1 | step 39/78 | loss = 1.1553 | 40 / 780 | 6.1405s
epoch 1 | step 40/78 | loss = 0.9813 | 41 / 780 | 6.1559s
epoch 1 | step 41/78 | loss = 1.1888 | 42 / 780 | 6.1904s
epoch 1 | step 42/78 | loss = 1.0011 | 43 / 780 | 6.1554s
epoch 1 | step 43/78 | loss = 1.1205 | 44 / 780 | 6.1627s
epoch 1 | step 44/78 | loss = 0.9898 | 45 / 780 | 6.2055s
epoch 1 | step 45/78 | loss = 1.0595 | 46 / 780 | 6.2106s
epoch 1 | step 46/78 | loss = 0.8801 | 47 / 780 | 6.2036s
epoch 1 | step 47/78 | loss = 0.9753 | 48 / 780 | 6.1861s
epoch 1 | step 48/78 | loss = 1.0047 | 49 / 780 | 6.2120s
epoch 1 | step 49/78 | loss = 0.7149 | 50 / 780 | 6.1989s
epoch 1 | step 50/78 | loss = 0.8102 | 51 / 780 | 6.2041s
epoch 1 | step 51/78 | loss = 0.8225 | 52 / 780 | 6.2095s
epoch 1 | step 52/78 | loss = 0.8048 | 53 / 780 | 6.1641s
epoch 1 | step 53/78 | loss = 0.8715 | 54 / 780 | 6.1786s
epoch 1 | step 54/78 | loss = 0.8710 | 55 / 780 | 6.2483s
epoch 1 | step 55/78 | loss = 0.6559 | 56 / 780 | 6.1656s
epoch 1 | step 56/78 | loss = 0.7949 | 57 / 780 | 6.2238s
epoch 1 | step 57/78 | loss = 0.8288 | 58 / 780 | 6.1946s
epoch 1 | step 58/78 | loss = 0.7750 | 59 / 780 | 6.1647s
epoch 1 | step 59/78 | loss = 0.8063 | 60 / 780 | 6.1575s
epoch 1 | step 60/78 | loss = 0.8968 | 61 / 780 | 6.1529s
epoch 1 | step 61/78 | loss = 0.6732 | 62 / 780 | 6.1698s
epoch 1 | step 62/78 | loss = 0.7423 | 63 / 780 | 6.1656s
epoch 1 | step 63/78 | loss = 0.8352 | 64 / 780 | 6.1312s
epoch 1 | step 64/78 | loss = 0.7080 | 65 / 780 | 6.1631s
epoch 1 | step 65/78 | loss = 0.9225 | 66 / 780 | 6.1836s
epoch 1 | step 66/78 | loss = 0.7788 | 67 / 780 | 6.1439s
epoch 1 | step 67/78 | loss = 0.7353 | 68 / 780 | 6.1464s
epoch 1 | step 68/78 | loss = 0.7517 | 69 / 780 | 6.1585s
epoch 1 | step 69/78 | loss = 0.5930 | 70 / 780 | 6.1415s
epoch 1 | step 70/78 | loss = 0.6920 | 71 / 780 | 6.2238s
epoch 1 | step 71/78 | loss = 0.6348 | 72 / 780 | 6.1930s
epoch 1 | step 72/78 | loss = 0.5626 | 73 / 780 | 6.1789s
