Resolving data files: 100%|██████████████████████████████████████████████████████| 2000/2000 [00:00<00:00, 56910.12it/s]
Resolving data files: 100%|███████████████████████████████████████████████████████| 200/200 [00:00<00:00, 361733.85it/s]

Epoch 1/1
epoch 1 | step 0/15 | loss = 1.5996 | 1 / 15 | 8.9790s
epoch 1 | step 1/15 | loss = 1.4329 | 2 / 15 | 8.8030s
epoch 1 | step 2/15 | loss = 1.2947 | 3 / 15 | 8.9657s
epoch 1 | step 3/15 | loss = 1.3163 | 4 / 15 | 9.0582s
epoch 1 | step 4/15 | loss = 1.2236 | 5 / 15 | 9.1429s
epoch 1 | step 5/15 | loss = 1.2319 | 6 / 15 | 9.1753s
epoch 1 | step 6/15 | loss = 1.1979 | 7 / 15 | 9.3253s
epoch 1 | step 7/15 | loss = 1.1598 | 8 / 15 | 8.9869s
epoch 1 | step 8/15 | loss = 1.0882 | 9 / 15 | 9.4372s
epoch 1 | step 9/15 | loss = 1.0502 | 10 / 15 | 9.5683s
epoch 1 | step 10/15 | loss = 1.0349 | 11 / 15 | 9.2132s
epoch 1 | step 11/15 | loss = 0.9709 | 12 / 15 | 8.8693s
epoch 1 | step 12/15 | loss = 1.0148 | 13 / 15 | 9.1601s
epoch 1 | step 13/15 | loss = 0.8497 | 14 / 15 | 9.1975s
epoch 1 | step 14/15 | loss = 0.8527 | 15 / 15 | 9.3010s

