
Epoch 1/10
epoch 1 | step 0/156 | loss = 2.9853 | 1 / 1560 | 2.4708s
epoch 1 | step 1/156 | loss = 2.4696 | 2 / 1560 | 2.5250s
epoch 1 | step 2/156 | loss = 2.3902 | 3 / 1560 | 2.4941s
epoch 1 | step 3/156 | loss = 2.2423 | 4 / 1560 | 2.3058s
epoch 1 | step 4/156 | loss = 2.3724 | 5 / 1560 | 2.5818s
epoch 1 | step 5/156 | loss = 2.2955 | 6 / 1560 | 2.3883s
epoch 1 | step 6/156 | loss = 2.1790 | 7 / 1560 | 2.4742s
epoch 1 | step 7/156 | loss = 2.3122 | 8 / 1560 | 2.2712s
epoch 1 | step 8/156 | loss = 2.2848 | 9 / 1560 | 2.3472s
epoch 1 | step 9/156 | loss = 2.2251 | 10 / 1560 | 2.3357s
epoch 1 | step 10/156 | loss = 2.1980 | 11 / 1560 | 2.3648s
epoch 1 | step 11/156 | loss = 2.0708 | 12 / 1560 | 2.4210s
epoch 1 | step 12/156 | loss = 2.1611 | 13 / 1560 | 2.3639s
epoch 1 | step 13/156 | loss = 2.1018 | 14 / 1560 | 2.4469s
epoch 1 | step 14/156 | loss = 2.0785 | 15 / 1560 | 2.3505s
epoch 1 | step 15/156 | loss = 1.9242 | 16 / 1560 | 2.3515s
epoch 1 | step 16/156 | loss = 2.1750 | 17 / 1560 | 2.3484s
epoch 1 | step 17/156 | loss = 1.9251 | 18 / 1560 | 2.3743s
epoch 1 | step 18/156 | loss = 2.1008 | 19 / 1560 | 2.3717s
epoch 1 | step 19/156 | loss = 2.0811 | 20 / 1560 | 2.3855s
epoch 1 | step 20/156 | loss = 2.0411 | 21 / 1560 | 2.4434s
epoch 1 | step 21/156 | loss = 2.0148 | 22 / 1560 | 2.4149s
epoch 1 | step 22/156 | loss = 1.9999 | 23 / 1560 | 2.4664s
epoch 1 | step 23/156 | loss = 1.8299 | 24 / 1560 | 2.4757s
epoch 1 | step 24/156 | loss = 1.9114 | 25 / 1560 | 2.4064s
